Topic,Movie,Word,Score
box office,Gladiator,gladiator,2.403001380119345
box office,Gladiator,weekend,1.9683409707861645
box office,Gladiator,thanksgiving,1.5548512909854215
box office,Gladiator,wicked,1.5378035939545736
box office,Gladiator,pre,0.9659061261541602
box office,Gladiator,glicked,0.909387933402937
box office,Gladiator,million,0.8632697185414873
box office,Gladiator,start,0.8420215499144216
box office,Gladiator,international,0.8410915832656565
box office,Gladiator,opening,0.775120400710205
box office,"Gladiator, Wicked",fall,0.41167054081829313
box office,"Gladiator, Wicked",expected,0.3365011551719873
box office,"Gladiator, Wicked",jeff,0.3356150075138404
box office,"Gladiator, Wicked",goldblum,0.3356150075138404
box office,"Gladiator, Wicked",trifecta,0.25339145438963906
box office,"Gladiator, Wicked",languished,0.25339145438963906
box office,"Gladiator, Wicked",lackluster,0.25339145438963906
box office,"Gladiator, Wicked",wicked,0.2485771399549512
box office,"Gladiator, Wicked",revive,0.2379995775831102
box office,"Gladiator, Wicked",breaking,0.2379995775831102
box office,Heretic,weekend,0.9493451238868078
box office,Heretic,heretic,0.9306303176547488
box office,Heretic,pageant,0.618620858362509
box office,Heretic,venom,0.5707895806180966
box office,Heretic,a24,0.5178797021092163
box office,Heretic,signs,0.4710153983115272
box office,Heretic,dance,0.44145112409110854
box office,Heretic,christmas,0.4364403688544881
box office,Heretic,last,0.3973750064997347
box office,Heretic,debut,0.3828089470486741
box office,"Heretic, Venom",previews,0.6659382690882895
box office,"Heretic, Venom",heretic,0.39415146157669617
box office,"Heretic, Venom",million,0.35460796720315213
box office,"Heretic, Venom",began,0.3080093970707432
box office,"Heretic, Venom",venom,0.290404615019357
box office,"Heretic, Venom",hugh,0.24622016515521797
box office,"Heretic, Venom",grant,0.24440098586331432
box office,"Heretic, Venom",a24,0.23964025031313582
box office,"Heretic, Venom",horror,0.22908733482643426
box office,"Heretic, Venom",threequel,0.2155256750707149
box office,"Heretic,Venom",notches,0.19259948271837332
box office,"Heretic,Venom",vie,0.19259948271837332
box office,"Heretic,Venom",uncertain,0.19259948271837332
box office,"Heretic,Venom",tricky,0.19259948271837332
box office,"Heretic,Venom",skirted,0.19259948271837332
box office,"Heretic,Venom",national,0.19259948271837332
box office,"Heretic,Venom",likely,0.19259948271837332
box office,"Heretic,Venom",absence,0.19259948271837332
box office,"Heretic,Venom",mood,0.19259948271837332
box office,"Heretic,Venom",gain,0.19259948271837332
box office,Moana 2,moana,1.8692963440671262
box office,Moana 2,disney,1.164490991605858
box office,Moana 2,record,1.0937779665924994
box office,Moana 2,inside,0.7388347756293115
box office,Moana 2,out,0.696521870939989
box office,Moana 2,thanksgiving,0.6104859115779107
box office,Moana 2,day,0.5538223437694287
box office,Moana 2,livestream,0.5525743471384877
box office,Moana 2,could,0.5479365895028521
box office,Moana 2,643,0.46773207579461995
box office,Red One,red,2.8068767514394644
box office,Red One,amazon,1.7881570119759014
box office,Red One,johnson,1.6383484457408424
box office,Red One,million,1.5822474212029713
box office,Red One,dwayne,1.5413398315079352
box office,Red One,weekend,1.268307788689123
box office,Red One,mgm,1.2136377619755911
box office,Red One,christmas,1.1991858766290484
box office,Red One,evans,1.0906338794583696
box office,Red One,chris,1.0906338794583696
box office,"Red One, Gladiator",soft,0.219250659724371
box office,"Red One, Gladiator",tasted,0.219250659724371
box office,"Red One, Gladiator",expired,0.219250659724371
box office,"Red One, Gladiator",kinder,0.219250659724371
box office,"Red One, Gladiator",red,0.20781846108447238
box office,"Red One, Gladiator",eggnog,0.20593261333501459
box office,"Red One, Gladiator",title,0.20593261333501459
box office,"Red One, Gladiator",estimated,0.1891538592125451
box office,"Red One, Gladiator",led,0.17371595836167647
box office,"Red One, Gladiator",34,0.17371595836167647
box office,"Red One, Venom, Heretic, Wicked, Gladiator",spot,0.38060795470197173
box office,"Red One, Venom, Heretic, Wicked, Gladiator",top,0.3056140555193062
box office,"Red One, Venom, Heretic, Wicked, Gladiator",million,0.24080585913891653
box office,"Red One, Venom, Heretic, Wicked, Gladiator",weekend,0.2083037228500676
box office,"Red One, Venom, Heretic, Wicked, Gladiator",red,0.20128264280543157
box office,"Red One, Venom, Heretic, Wicked, Gladiator",50,0.19945610431140795
box office,"Red One, Venom, Heretic, Wicked, Gladiator",adding,0.19030397735098586
box office,"Red One, Venom, Heretic, Wicked, Gladiator",overseas,0.18320503616698347
box office,"Red One, Venom, Heretic, Wicked, Gladiator",total,0.18320503616698347
box office,"Red One, Venom, Heretic, Wicked, Gladiator",film,0.17454161121677012
box office,"Red One, Wicked",million,0.319098540106518
box office,"Red One, Wicked",budgeted,0.281397916737537
box office,"Red One, Wicked",chilly,0.281397916737537
box office,"Red One, Wicked",9iei0uua20,0.281397916737537
box office,"Red One, Wicked",red,0.2667252271089567
box office,"Red One, Wicked",spot,0.2521770922281915
box office,"Red One, Wicked",250,0.24277008786286
box office,"Red One, Wicked",debuts,0.22858551573399
box office,"Red One, Wicked",34,0.22295626771884608
box office,"Red One, Wicked",https,0.22295626771884608
box office,Venom,venom,0.3063036608810631
box office,Venom,rule,0.21616970269798047
box office,Venom,row,0.21616970269798047
box office,Venom,lethargic,0.21616970269798047
box office,Venom,sequel,0.21097475126392734
box office,Venom,moviegoing,0.20303880433660568
box office,Venom,tops,0.20303880433660568
box office,Venom,performing,0.1937222836836219
box office,Venom,superhero,0.1937222836836219
box office,Venom,weeks,0.18059138532224714
box office,"Venom, Heretic",venom,0.5430401244386054
box office,"Venom, Heretic",christmas,0.4517593114250842
box office,"Venom, Heretic",pageant,0.4423493331408146
box office,"Venom, Heretic",dance,0.3810161555581251
box office,"Venom, Heretic",last,0.34297408938110674
box office,"Venom, Heretic",domestic,0.3410673910808706
box office,"Venom, Heretic",ever,0.33575776605275515
box office,"Venom, Heretic",best,0.3047523518762164
box office,"Venom, Heretic",niche,0.29250661557607627
box office,"Venom, Heretic",veterans,0.274738748057077
box office,"Venom, Red One",venom,0.40570194402165094
box office,"Venom, Red One",disappointments,0.3978871736434164
box office,"Venom, Red One",reign,0.3978871736434164
box office,"Venom, Red One",red,0.3542086342815436
box office,"Venom, Red One",continues,0.34326872503115424
box office,"Venom, Red One",international,0.29197790602184204
box office,"Venom, Red One",dwayne,0.2150060358690029
box office,"Venom, Red One",johnson,0.2150060358690029
box office,"Venom, Red One",topples,0.1989435868217082
box office,"Venom, Red One",string,0.1989435868217082
box office,"Venom,Heretic",third,0.2952526472635697
box office,"Venom,Heretic",venom,0.264011204785632
box office,"Venom,Heretic",million,0.2112851315379864
box office,"Venom,Heretic",looming,0.18632236873462085
box office,"Venom,Heretic",905,0.18632236873462085
box office,"Venom,Heretic",prior,0.18632236873462085
box office,"Venom,Heretic",sleepy,0.18632236873462085
box office,"Venom,Heretic",weekend,0.18276747766689252
box office,"Venom,Heretic",37,0.1750045010789341
box office,"Venom,Heretic",trilogy,0.1750045010789341
box office,Wicked,opening,1.2908775275876014
box office,Wicked,wicked,1.1401765837424933
box office,Wicked,weekend,1.066044483388226
box office,Wicked,million,0.9109914717894108
box office,Wicked,records,0.7677470266891988
box office,Wicked,gravity,0.5885291610720781
box office,Wicked,massive,0.5850969004204598
box office,Wicked,broke,0.5832344084802763
box office,Wicked,114,0.5577282725738539
box office,Wicked,broadway,0.5538700948542854
box office,"Wicked, Gladiator",gladiator,0.5837890525428746
box office,"Wicked, Gladiator",wicked,0.5451768492213701
box office,"Wicked, Gladiator",posters,0.3979742327308728
box office,"Wicked, Gladiator",mashup,0.3979742327308728
box office,"Wicked, Gladiator",80m,0.38833712705855555
box office,"Wicked, Gladiator",65m,0.38833712705855555
box office,"Wicked, Gladiator",screens,0.38139492593470165
box office,"Wicked, Gladiator",studios,0.3744496271332094
box office,"Wicked, Gladiator",vs,0.37379989592412644
box office,"Wicked, Gladiator",theaters,0.3732514355674444
box office,"Wicked, Gladiator, Moana 2",paraphrase,0.2840094716458357
box office,"Wicked, Gladiator, Moana 2",bets,0.2840094716458357
box office,"Wicked, Gladiator, Moana 2",wesley,0.2840094716458357
box office,"Wicked, Gladiator, Moana 2",rebound,0.2840094716458357
box office,"Wicked, Gladiator, Moana 2",snipes,0.2840094716458357
box office,"Wicked, Gladiator, Moana 2",wolverine,0.2667577501543204
box office,"Wicked, Gladiator, Moana 2",revive,0.2667577501543204
box office,"Wicked, Gladiator, Moana 2",deadpool,0.25451745896083966
box office,"Wicked, Gladiator, Moana 2",blade,0.25451745896083966
box office,"Wicked, Gladiator, Moana 2",summer,0.245023151502765
box office,"Wicked, Gladiator, Moana 2, Heretic",100,0.38124122717168374
box office,"Wicked, Gladiator, Moana 2, Heretic",four,0.37070247416924734
box office,"Wicked, Gladiator, Moana 2, Heretic",plus,0.3615733910765347
box office,"Wicked, Gladiator, Moana 2, Heretic",million,0.2587447807912257
box office,"Wicked, Gladiator, Moana 2, Heretic",november,0.251541643886663
box office,"Wicked, Gladiator, Moana 2, Heretic",yield,0.228174789696803
box office,"Wicked, Gladiator, Moana 2, Heretic",lame,0.228174789696803
box office,"Wicked, Gladiator, Moana 2, Heretic",titles,0.2143146606651097
box office,"Wicked, Gladiator, Moana 2, Heretic",october,0.20448074261753516
box office,"Wicked, Gladiator, Moana 2, Heretic",led,0.18078669553826734
box office,,000,0.0
box office,,outburst,0.0
box office,,poorly,0.0
box office,,pop,0.0
box office,,popcorn,0.0
box office,,popped,0.0
box office,,popping,0.0
box office,,pops,0.0
box office,,popular,0.0
box office,,porn,0.0
box office,All Movies,weekend,7.386200821953122
