Name	title	coding
Time	Stephanie Zacharek	The Best New Movies of October 2024
IndieWire	Tom Brueggemann	‘Venom: The Last Dance’ Falls Short, but Look at ‘Conclave’ and ‘Anora’ Soar
Gizmodo.com	Justin Carter	Ralph Fiennes Spreads New Info About 28 Years Later
The Atlantic	Shirley Li	When the Pope Dies, the Cardinals Get Catty
Digital Trends	Alex Welch	This new slow-burn thriller features one of 2024’s best performances
Deadline	jillg366	Older Demos, Still Elusive, Bless ‘Conclave’ Amid Indie Surge – Specialty Box Office
IndieWire	Ryan Lattanzio	‘Conclave’ Screenwriter Peter Straughan on That Wild Ending, and Why ‘The Goldfinch’ Movie Was ‘a Mistake from the Beginning’
Vanity Fair	David Canfield	‘Anora’ Proves There’s Plenty of Life in the Awards Box Office
Deadline	Andreas Wiseman	Amber Midthunder & Alan Ritchson Set For Action Franchise Hopeful ‘Painter’ From ‘John Wick’ Scribe Derek Kolstad; FilmNation Launching For AFM
Deadline	anthonypauldalessandro	‘Venom: The Last Dance’ Rules Halloween, ‘Here’ Has $475K Previews – Box Office
Livejournal.com	scriptedending	Weekend Box Office: 'Venom' Takes the Top Spot
The New York Review of Books	Anna Shechtman, D. A. Miller	Anora’s Honor
Deadline	Patrick Hipes	Santa Barbara Film Festival Awards: Ralph Fiennes Set As Performer Of The Year For ‘Conclave’
NBC News	Variety	‘Venom 3’ slinks to $51 million, lowest opening weekend of comic book trilogy
Forbes	Maelle Beauget-Uhl, Contributor, 
 Maelle Beauget-Uhl, Contributor
 https://www.forbes.com/sites/maellebeauget-uhl/	Sean Baker Talks ‘Anora’, Shooting On 35 mm and Winning the Palme d’Or
Vulture	Joe Reid	‘Anora’ Is the Hero Gothams Need
[Removed]	None	[Removed]
Digital Trends	Jason Struss	3 underrated Netflix movies you should watch this weekend (November 1-3)
AnOther Magazine	Alex Denney	The Best Films to See This November
IndieWire	Anne Thompson	Gotham Nominations Add New Contenders Like ‘Babygirl’ to the Awards Race
Just Jared	Just Jared	Tom Hardy's 'Venom: The Last Dance' Opening Weekend Box Office Numbers Revealed, Lowest of The Trilogy
Vanity Fair	Rebecca Ford	Gotham Awards Nominations Give ‘Anora,’ ‘Babygirl,’ ‘Nickel Boys’ a Boost
The Atlantic	Isabel Fattal	How Trump Is Baiting Harris
Dazed	Cici Peng	Sean Baker on Anora and the everyday labour of sex work
Screen Rant	Maxance Vincent	Conclave Ending: The Chosen Popes Shocking Twist Explained By Director
Screen Rant	Bella Garcia	Not Everyone Needs To Agree: Conclave Director Responds To Audiences Reaction & Potential Controversy To Shocking Ending
VOA News	webdesk@voanews.com (Associated Press)	'Venom: The Last Dance' misses projections as superhero films' grip on theaters loosens
Screen Rant	Nick Bythrow	Conclave Ending: What The Turtle & Laughing Nuns Really Mean Explained By Star
IndieWire	Harrison Richlin	The Best Films Playing in New York and Los Angeles Repertory Theaters During November 2024
CinemaBlend	Eric Eisenberg	‘He’s The Witness’: Conclave’s Ralph Fiennes Had An Unexpected But Important Approach In The Catholic Church-Centric Thriller
Screen Rant	Michael Keene, Jos Morfin	Was This Russell Crowe Thriller Completely Overlooked in 2020?
CBS News	Martha Teichner	Ralph Fiennes on choosing acting roles: "I like characters that have contradictions inside them"
IndieWire	Harrison Richlin	Watch Andrew Garfield Visit the Criterion Closet, Which He Compared to ‘Sensory Deprivation Pods’
Out.com	Mey Rude	​Theo James is… 'The Hole' in new film—and you can count us in!
Livejournal.com	tillychar	Gotham Awards Announce 2024 Nominees
NPR	Stephen Thompson	There can only be one pope in the delightfully preposterous 'Conclave'
IndieWire	Christian Blauvelt	‘How Filmmakers Are – and Aren’t – Using AI’ Panel Will Answer Key Questions at Future of Filmmaking Summit
IndieWire	Tom Brueggemann	November Might Debut Four $100 Million-Plus Movies, Led by ‘Wicked,’ ‘Gladiator 2,’ and ‘Moana 2’
The Atlantic	Tom Nichols	Why Does Elon Musk Still Have a Security Clearance?
IndieWire	Samantha Bergeson	What Does the Next 10 Years of ‘Happy Sad Confused’ Look Like? Josh Horowitz Is Eyeing an International Expansion
